CLIENT	TRIALN	KEY	BASELINE	MAXLEUVEN	MAXV	REJECT	NON_RESPPONS	Stimulus	Total_Trial_Nr	practice	acq	DATE
'11/01/2018 11:20:04'	1	'ACT:PROB'	218095,238	718	5830000	0	0	7	1	1	0	1801111120
'11/01/2018 11:20:04'	2	'ACT:PROB'	537619,048	670	7290000	0	0	7	2	1	0	1801111120
'11/01/2018 11:20:04'	3	'ACT:PROB'	198571,429	651	10530000	0	0	7	3	1	0	1801111120
'11/01/2018 11:20:04'	4	'ACT:PROB'	193333,333	684	10150000	0	0	0	4	1	0	1801111120
'11/01/2018 11:20:04'	5	'ACT:PROB'	183333,333	680	9970000	0	0	0	5	1	0	1801111120
'11/01/2018 11:20:04'	6	'ACT:PROB'	209047,619	616	4420000	0	0	7	6	1	0	1801111120
'11/01/2018 11:20:04'	7	'ACT:PROB'	168095,238	616	6860000	0	0	0	7	1	0	1801111120
'11/01/2018 11:20:04'	8	'ACT:PROB'	519523,81	615	4280000	1	0	7	8	1	0	1801111120
'11/01/2018 11:20:04'	9	'ACT:PROB'	4152857,143	610	46170000	1	0	7	9	1	0	1801111120
'11/01/2018 11:20:04'	10	'ACT:PROB'	180000	675	5000000	0	0	0	10	1	0	1801111120
'11/01/2018 11:20:04'	11	'ACT:PROB'	197142,857	721	6610000	0	0	0	11	0	1	1801111120
'11/01/2018 11:20:04'	12	'ACT:PROB'	234761,905	676	5960000	0	0	7	12	0	1	1801111120
'11/01/2018 11:20:04'	13	'ACT:PROB'	172380,952	721	6520000	0	0	7	14	0	1	1801111120
'11/01/2018 11:20:04'	14	'ACT:PROB'	211428,571	720	8450000	0	0	7	16	0	1	1801111120
'11/01/2018 11:20:04'	15	'ACT:PROB'	202380,952	708	8870000	0	0	7	18	0	1	1801111120
'11/01/2018 11:20:04'	16	'ACT:PROB'	174761,905	725	13870000	0	0	7	20	0	1	1801111120
'11/01/2018 11:20:04'	17	'ACT:PROB'	516190,476	694	8870000	0	0	7	22	0	1	1801111120
'11/01/2018 11:20:04'	18	'ACT:PROB'	133809,524	725	4420000	0	0	7	26	0	0	1801111120
'11/01/2018 11:20:04'	19	'ACT:PROB'	605238,095	725	9670000	0	0	10	28	0	0	1801111120
'11/01/2018 11:20:04'	20	'ACT:PROB'	184285,714	705	11520000	0	0	5	30	0	0	1801111120
'11/01/2018 11:20:04'	21	'ACT:PROB'	164285,714	722	8750000	0	0	9	32	0	0	1801111120
'11/01/2018 11:20:04'	22	'ACT:PROB'	170476,19	725	3430000	0	0	8	34	0	0	1801111120
'11/01/2018 11:20:04'	23	'ACT:PROB'	180952,381	712	11910000	0	0	0	36	0	0	1801111120
'11/01/2018 11:20:04'	24	'ACT:PROB'	179523,81	653	10750000	0	0	9	38	0	0	1801111120
'11/01/2018 11:20:04'	25	'ACT:PROB'	150952,381	647	11200000	0	0	6	40	0	0	1801111120
'11/01/2018 11:20:04'	26	'ACT:PROB'	238095,238	668	3710000	0	0	8	42	0	0	1801111120
'11/01/2018 11:20:04'	27	'ACT:PROB'	1717142,857	683	6800000	0	0	7	44	0	0	1801111120
'11/01/2018 11:20:04'	28	'ACT:PROB'	211904,762	715	3020000	0	0	5	46	0	0	1801111120
'11/01/2018 11:20:04'	29	'ACT:PROB'	248571,429	679	5490000	0	0	0	47	0	0	1801111120
'11/01/2018 11:20:04'	30	'ACT:PROB'	148095,238	697	4870000	0	0	7	49	0	0	1801111120
'11/01/2018 11:20:04'	31	'ACT:PROB'	110000	710	7220000	0	0	7	51	0	0	1801111120
'11/01/2018 11:20:04'	32	'ACT:PROB'	394761,905	682	2370000	0	0	6	53	0	0	1801111120
'11/01/2018 11:20:04'	33	'ACT:PROB'	720476,19	641	3460000	0	0	4	55	0	0	1801111120
'11/01/2018 11:20:04'	34	'ACT:PROB'	101904,762	725	4960000	0	0	4	57	0	0	1801111120
'11/01/2018 11:20:04'	35	'ACT:PROB'	127619,048	643	4490000	0	0	10	59	0	0	1801111120
'11/01/2018 11:20:04'	36	'ACT:PROB'	126666,667	720	4750000	0	0	7	64	0	1	1801111120
'11/01/2018 11:20:04'	37	'ACT:PROB'	132380,952	694	8550000	0	0	7	70	0	1	1801111120
'11/01/2018 11:20:04'	38	'ACT:PROB'	153333,333	698	5190000	0	0	7	71	0	1	1801111120
