CLIENT;TRIALN;KEY;BASELINE;MAXLEUVEN;MAXV;REJECT;NON_RESPPONS;Stimulus;Total_Trial_Nr;practice;acq;DATE
'14/06/2018 15:03:09';0001,000;'ACT:PROB';1184285,714;0725,000;1550000,000;1;0;0010,000;0001,000;0001,000;0000,000;1806141506,000
'14/06/2018 15:03:09';0002,000;'ACT:PROB';903333,333;0654,000;3660000,000;1;0;0001,000;0002,000;0001,000;0000,000;1806141506,000
'14/06/2018 15:03:09';0003,000;'ACT:PROB';1133809,524;0623,000;2200000,000;1;0;0001,000;0003,000;0001,000;0000,000;1806141506,000
'14/06/2018 15:03:09';0004,000;'ACT:PROB';1160476,190;0614,000;2600000,000;1;0;0000,000;0004,000;0001,000;0000,000;1806141506,000
'14/06/2018 15:03:09';0005,000;'ACT:PROB';1321904,762;0671,000;2330000,000;1;0;0000,000;0005,000;0001,000;0000,000;1806141506,000
'14/06/2018 15:03:09';0006,000;'ACT:PROB';1841428,571;0619,000;2190000,000;1;0;0010,000;0006,000;0001,000;0000,000;1806141506,000
'14/06/2018 15:03:09';0007,000;'ACT:PROB';851428,571;0621,000;1770000,000;1;0;0000,000;0007,000;0001,000;0000,000;1806141506,000
'14/06/2018 15:03:09';0008,000;'ACT:PROB';823333,333;0721,000;1890000,000;1;0;0010,000;0008,000;0001,000;0000,000;1806141506,000
'14/06/2018 15:03:09';0009,000;'ACT:PROB';850000,000;0592,000;1630000,000;1;0;0001,000;0009,000;0001,000;0000,000;1806141506,000
'14/06/2018 15:03:09';0010,000;'ACT:PROB';873333,333;0624,000;2320000,000;1;0;0000,000;0010,000;0001,000;0000,000;1806141506,000
'14/06/2018 15:03:09';0011,000;'ACT:PROB';930000,000;0684,000;1390000,000;1;0;0010,000;0011,000;0000,000;0001,000;1806141506,000
'14/06/2018 15:03:09';0012,000;'ACT:PROB';870000,000;0652,000;2020000,000;1;0;0001,000;0013,000;0000,000;0001,000;1806141506,000
'14/06/2018 15:03:09';0013,000;'ACT:PROB';826190,476;0666,000;1940000,000;1;0;0000,000;0015,000;0000,000;0001,000;1806141506,000
'14/06/2018 15:03:09';0014,000;'ACT:PROB';705238,095;0645,000;2000000,000;1;0;0010,000;0016,000;0000,000;0001,000;1806141506,000
'14/06/2018 15:03:09';0015,000;'ACT:PROB';1158095,238;0639,000;2010000,000;1;0;0001,000;0018,000;0000,000;0001,000;1806141506,000
'14/06/2018 15:03:09';0016,000;'ACT:PROB';747619,048;0644,000;1280000,000;1;0;0001,000;0020,000;0000,000;0001,000;1806141506,000
'14/06/2018 15:03:09';0017,000;'ACT:PROB';530000,000;0653,000;2870000,000;1;0;0010,000;0022,000;0000,000;0001,000;1806141506,000
'14/06/2018 15:03:09';0018,000;'ACT:PROB';702857,143;0651,000;2200000,000;1;0;0010,000;0024,000;0000,000;0001,000;1806141506,000
'14/06/2018 15:03:09';0019,000;'ACT:PROB';595714,286;0653,000;1340000,000;1;0;0001,000;0026,000;0000,000;0001,000;1806141506,000
'14/06/2018 15:03:09';0020,000;'ACT:PROB';989047,619;0676,000;2450000,000;1;0;0010,000;0028,000;0000,000;0001,000;1806141506,000
'14/06/2018 15:03:09';0021,000;'ACT:PROB';1838095,238;0647,000;3170000,000;1;0;0001,000;0030,000;0000,000;0001,000;1806141506,000
'14/06/2018 15:03:09';0022,000;'ACT:PROB';440952,381;0682,000;2560000,000;1;0;0001,000;0036,000;0000,000;0000,000;1806141506,000
'14/06/2018 15:03:09';0023,000;'ACT:PROB';672380,952;0655,000;1830000,000;1;0;0009,000;0038,000;0000,000;0000,000;1806141506,000
'14/06/2018 15:03:09';0024,000;'ACT:PROB';738095,238;0643,000;1470000,000;1;0;0010,000;0040,000;0000,000;0000,000;1806141506,000
'14/06/2018 15:03:09';0025,000;'ACT:PROB';500000,000;0620,000;950000,000;1;0;0000,000;0041,000;0000,000;0000,000;1806141506,000
